y_over_delta,y_plus,u_plus
5.0000000000000000e-01,5.5790933064403248e+02,9.3250262514992031e+01
5.0250000000000006e-01,5.6069887729725269e+02,9.3296879923490096e+01
5.0500000000000000e-01,5.6348842395047279e+02,9.3343497331988118e+01
5.0750000000000006e-01,5.6627797060369301e+02,9.3390114740486197e+01
5.1000000000000001e-01,5.6906751725691299e+02,9.3435681956816083e+01
5.1249999999999996e-01,5.7185706391013321e+02,9.3481027017110435e+01
5.1500000000000001e-01,5.7464661056335342e+02,9.3526372077404773e+01
5.1749999999999996e-01,5.7743615721657352e+02,9.3571717137699096e+01
5.2000000000000002e-01,5.8022570386979373e+02,9.3616285913022224e+01
5.2249999999999996e-01,5.8301525052301383e+02,9.3660320992427657e+01
5.2500000000000002e-01,5.8580479717623405e+02,9.3704356071833075e+01
5.2749999999999997e-01,5.8859434382945415e+02,9.3748391151238479e+01
5.3000000000000003e-01,5.9138389048267436e+02,9.3791981671108445e+01
5.3249999999999997e-01,5.9417343713589457e+02,9.3834781136510813e+01
5.3500000000000003e-01,5.9696298378911467e+02,9.3877580601913209e+01
5.3749999999999998e-01,5.9975253044233477e+02,9.3920380067315591e+01
5.4000000000000004e-01,6.0254207709555510e+02,9.3963024777020536e+01
5.4249999999999998e-01,6.0533162374877520e+02,9.4004605541305708e+01
5.4500000000000004e-01,6.0812117040199541e+02,9.4046186305590922e+01
5.4749999999999999e-01,6.1091071705521551e+02,9.4087767069876094e+01
5.5000000000000004e-01,6.1370026370843573e+02,9.4129347834161265e+01
5.5249999999999999e-01,6.1648981036165583e+02,9.4169871470802264e+01
5.5500000000000005e-01,6.1927935701487604e+02,9.4210270003580021e+01
5.5750000000000000e-01,6.2206890366809614e+02,9.4250668536357793e+01
5.6000000000000005e-01,6.2485845032131635e+02,9.4291067069135551e+01
5.6250000000000000e-01,6.2764799697453645e+02,9.4330689029367321e+01
5.6500000000000006e-01,6.3043754362775678e+02,9.4369913384455558e+01
5.6750000000000000e-01,6.3322709028097688e+02,9.4409137739543795e+01
5.7000000000000006e-01,6.3601663693419698e+02,9.4448362094632046e+01
5.7250000000000001e-01,6.3880618358741708e+02,9.4487115986934811e+01
5.7500000000000007e-01,6.4159573024063741e+02,9.4525242595523636e+01
5.7750000000000001e-01,6.4438527689385751e+02,9.4563369204112462e+01
5.7999999999999996e-01,6.4717482354707749e+02,9.4601495812701273e+01
5.8250000000000002e-01,6.4996437020029782e+02,9.4639397779407702e+01
5.8499999999999996e-01,6.5275391685351792e+02,9.4676376892975640e+01
5.8750000000000002e-01,6.5554346350673814e+02,9.4713356006543606e+01
5.8999999999999997e-01,6.5833301015995823e+02,9.4750335120111572e+01
5.9250000000000003e-01,6.6112255681317845e+02,9.4787314233679552e+01
5.9499999999999997e-01,6.6391210346639855e+02,9.4823227972299719e+01
5.9750000000000003e-01,6.6670165011961876e+02,9.4859100734960379e+01
5.9999999999999998e-01,6.6949119677283886e+02,9.4894973497621010e+01
6.0250000000000004e-01,6.7228074342605908e+02,9.4930846260281655e+01
6.0499999999999998e-01,6.7507029007927918e+02,9.4965964051871467e+01
6.0750000000000004e-01,6.7785983673249950e+02,9.5000802832413356e+01
6.0999999999999999e-01,6.8064938338571960e+02,9.5035641612955260e+01
6.1250000000000004e-01,6.8343893003893970e+02,9.5070480393497164e+01
6.1499999999999999e-01,6.8622847669215992e+02,9.5104809638672393e+01
6.1750000000000005e-01,6.8901802334538013e+02,9.5138623927891928e+01
6.2000000000000000e-01,6.9180756999860023e+02,9.5172438217111463e+01
6.2250000000000005e-01,6.9459711665182044e+02,9.5206252506331012e+01
6.2500000000000000e-01,6.9738666330504054e+02,9.5239776654193236e+01
6.2750000000000006e-01,7.0017620995826076e+02,9.5272494209082097e+01
6.3000000000000000e-01,7.0296575661148086e+02,9.5305211763970945e+01
6.3250000000000006e-01,7.0575530326470107e+02,9.5337929318859835e+01
6.3500000000000001e-01,7.0854484991792117e+02,9.5370613406439418e+01
6.3750000000000007e-01,7.1133439657114138e+02,9.5402276741085913e+01
6.4000000000000001e-01,7.1412394322436148e+02,9.5433940075732409e+01
6.4249999999999996e-01,7.1691348987758158e+02,9.5465603410378890e+01
6.4500000000000002e-01,7.1970303653080191e+02,9.5497266745025385e+01
6.4749999999999996e-01,7.2249258318402190e+02,9.5528155050116951e+01
6.5000000000000002e-01,7.2528212983724222e+02,9.5558848314658306e+01
6.5249999999999997e-01,7.2807167649046232e+02,9.5589541579199633e+01
6.5500000000000003e-01,7.3086122314368242e+02,9.5620234843740960e+01
6.5749999999999997e-01,7.3365076979690264e+02,9.5650387537962857e+01
6.6000000000000003e-01,7.3644031645012285e+02,9.5680125963341794e+01
6.6249999999999998e-01,7.3922986310334295e+02,9.5709864388720746e+01
6.6500000000000004e-01,7.4201940975656316e+02,9.5739602814099683e+01
6.6749999999999998e-01,7.4480895640978326e+02,9.5769020620805819e+01
6.7000000000000004e-01,7.4759850306300348e+02,9.5797797190166364e+01
6.7249999999999999e-01,7.5038804971622358e+02,9.5826573759526894e+01
6.7500000000000004e-01,7.5317759636944379e+02,9.5855350328887425e+01
6.7749999999999999e-01,7.5596714302266400e+02,9.5884022282690907e+01
6.8000000000000005e-01,7.5875668967588410e+02,9.5911758202562950e+01
6.8250000000000000e-01,7.6154623632910420e+02,9.5939494122434979e+01
6.8500000000000005e-01,7.6433578298232453e+02,9.5967230042307008e+01
6.8750000000000000e-01,7.6712532963554463e+02,9.5994965962179066e+01
6.9000000000000006e-01,7.6991487628876484e+02,9.6021826792525758e+01
6.9250000000000000e-01,7.7270442294198494e+02,9.6048554225078959e+01
6.9500000000000006e-01,7.7549396959520516e+02,9.6075281657632146e+01
6.9750000000000001e-01,7.7828351624842526e+02,9.6102009090185348e+01
7.0000000000000007e-01,7.8107306290164547e+02,9.6128149849966391e+01
7.0250000000000001e-01,7.8386260955486568e+02,9.6153953272903379e+01
7.0499999999999996e-01,7.8665215620808567e+02,9.6179756695840410e+01
7.0750000000000002e-01,7.8944170286130577e+02,9.6205560118777413e+01
7.0999999999999996e-01,7.9223124951452598e+02,9.6230998109671873e+01
7.1250000000000002e-01,7.9502079616774620e+02,9.6255892760818867e+01
7.1499999999999997e-01,7.9781034282096630e+02,9.6280787411965861e+01
7.1750000000000003e-01,8.0059988947418651e+02,9.6305682063112855e+01
7.1999999999999997e-01,8.0338943612740673e+02,9.6330422634029091e+01
7.2250000000000003e-01,8.0617898278062682e+02,9.6354407248813146e+01
7.2499999999999998e-01,8.0896852943384704e+02,9.6378391863597201e+01
7.2750000000000004e-01,8.1175807608706725e+02,9.6402376478381257e+01
7.2999999999999998e-01,8.1454762274028747e+02,9.6426361093165326e+01
7.3250000000000004e-01,8.1733716939350757e+02,9.6449459549117449e+01
7.3499999999999999e-01,8.2012671604672755e+02,9.6472497926504701e+01
7.3750000000000004e-01,8.2291626269994799e+02,9.6495536303891953e+01
7.3999999999999999e-01,8.2570580935316798e+02,9.6518574681279176e+01
7.4250000000000005e-01,8.2849535600638831e+02,9.6540902232440189e+01
7.4500000000000000e-01,8.3128490265960829e+02,9.6562930488348059e+01
7.4750000000000005e-01,8.3407444931282851e+02,9.6584958744255914e+01
7.5000000000000000e-01,8.3686399596604861e+02,9.6606987000163755e+01
7.5250000000000006e-01,8.3965354261926882e+02,9.6628572966018837e+01
7.5500000000000000e-01,8.4244308927248903e+02,9.6649661976758495e+01
7.5750000000000006e-01,8.4523263592570913e+02,9.6670750987498096e+01
7.6000000000000001e-01,8.4802218257892935e+02,9.6691839998237739e+01
7.6250000000000007e-01,8.5081172923214956e+02,9.6712717313796375e+01
7.6500000000000001e-01,8.5360127588536966e+02,9.6732917204775774e+01
7.6750000000000007e-01,8.5639082253858987e+02,9.6753117095755186e+01
7.7000000000000002e-01,8.5918036919180986e+02,9.6773316986734599e+01
7.7249999999999996e-01,8.6196991584503007e+02,9.6793512213669416e+01
7.7500000000000002e-01,8.6475946249825029e+02,9.6812830600218717e+01
7.7749999999999997e-01,8.6754900915147039e+02,9.6832148986768047e+01
7.8000000000000003e-01,8.7033855580469060e+02,9.6851467373317362e+01
7.8249999999999997e-01,8.7312810245791081e+02,9.6870785759866664e+01
7.8500000000000003e-01,8.7591764911113091e+02,9.6889421586765920e+01
7.8749999999999998e-01,8.7870719576435113e+02,9.6907856385823038e+01
7.9000000000000004e-01,8.8149674241757134e+02,9.6926291184880156e+01
7.9249999999999998e-01,8.8428628907079144e+02,9.6944725983937246e+01
7.9500000000000004e-01,8.8707583572401165e+02,9.6962656435637072e+01
7.9749999999999999e-01,8.8986538237723164e+02,9.6980156708708591e+01
8.0000000000000004e-01,8.9265492903045197e+02,9.6997656981780111e+01
8.0249999999999999e-01,8.9544447568367195e+02,9.7015157254851630e+01
8.0500000000000005e-01,8.9823402233689239e+02,9.7032348433742726e+01
8.0750000000000000e-01,9.0102356899011238e+02,9.7048841486122797e+01
8.1000000000000005e-01,9.0381311564333248e+02,9.7065334538502867e+01
8.1250000000000000e-01,9.0660266229655269e+02,9.7081827590882966e+01
8.1500000000000006e-01,9.0939220894977291e+02,9.7098252502422781e+01
8.1750000000000000e-01,9.1218175560299301e+02,9.7113825653459287e+01
8.2000000000000006e-01,9.1497130225621322e+02,9.7129398804495793e+01
8.2250000000000001e-01,9.1776084890943343e+02,9.7144971955532256e+01
8.2500000000000007e-01,9.2055039556265353e+02,9.7160545106568762e+01
8.2750000000000001e-01,9.2333994221587375e+02,9.7175382511915615e+01
8.3000000000000007e-01,9.2612948886909396e+02,9.7190081097321027e+01
8.3250000000000002e-01,9.2891903552231395e+02,9.7204779682726425e+01
8.3499999999999996e-01,9.3170858217553416e+02,9.7219478268131823e+01
8.3750000000000002e-01,9.3449812882875426e+02,9.7233645413800886e+01
8.3999999999999997e-01,9.3728767548197447e+02,9.7247470589552663e+01
8.4250000000000003e-01,9.4007722213519469e+02,9.7261295765304439e+01
8.4499999999999997e-01,9.4286676878841479e+02,9.7275120941056201e+01
8.4750000000000003e-01,9.4565631544163500e+02,9.7288613565133673e+01
8.4999999999999998e-01,9.4844586209485522e+02,9.7301553497696119e+01
8.5250000000000004e-01,9.5123540874807532e+02,9.7314493430258537e+01
8.5499999999999998e-01,9.5402495540129553e+02,9.7327433362820983e+01
8.5750000000000004e-01,9.5681450205451574e+02,9.7340237152984869e+01
8.5999999999999999e-01,9.5960404870773573e+02,9.7352224088757524e+01
8.6250000000000004e-01,9.6239359536095606e+02,9.7364211024530178e+01
8.6499999999999999e-01,9.6518314201417604e+02,9.7376197960302846e+01
8.6750000000000005e-01,9.6797268866739637e+02,9.7388184896075501e+01
8.7000000000000000e-01,9.7076223532061636e+02,9.7399283857822269e+01
8.7250000000000005e-01,9.7355178197383657e+02,9.7410295054694359e+01
8.7500000000000000e-01,9.7634132862705678e+02,9.7421306251566492e+01
8.7750000000000006e-01,9.7913087528027688e+02,9.7432317448438582e+01
8.8000000000000000e-01,9.8192042193349710e+02,9.7442723367879736e+01
8.8250000000000006e-01,9.8470996858671731e+02,9.7452840834795225e+01
8.8500000000000001e-01,9.8749951523993741e+02,9.7462958301710700e+01
8.8750000000000007e-01,9.9028906189315762e+02,9.7473075768626188e+01
8.9000000000000001e-01,9.9307860854637784e+02,9.7482802104024529e+01
8.9250000000000007e-01,9.9586815519959794e+02,9.7492039525026414e+01
8.9500000000000002e-01,9.9865770185281804e+02,9.7501276946028298e+01
8.9749999999999996e-01,1.0014472485060381e+03,9.7510514367030183e+01
9.0000000000000002e-01,1.0042367951592583e+03,9.7519564164939425e+01
9.0249999999999997e-01,1.0070263418124786e+03,9.7527915066828498e+01
9.0500000000000003e-01,1.0098158884656987e+03,9.7536265968717601e+01
9.0749999999999997e-01,1.0126054351189189e+03,9.7544616870606703e+01
9.1000000000000003e-01,1.0153949817721391e+03,9.7552967772495805e+01
9.1249999999999998e-01,1.0181845284253592e+03,9.7560396003571512e+01
9.1500000000000004e-01,1.0209740750785794e+03,9.7567804285008037e+01
9.1749999999999998e-01,1.0237636217317996e+03,9.7575212566444549e+01
9.2000000000000004e-01,1.0265531683850197e+03,9.7582620847881074e+01
9.2249999999999999e-01,1.0293427150382397e+03,9.7589302379156848e+01
9.2500000000000004e-01,1.0321322616914601e+03,9.7595736506122549e+01
9.2749999999999999e-01,1.0349218083446801e+03,9.7602170633088292e+01
9.3000000000000005e-01,1.0377113549979003e+03,9.7608604760054007e+01
9.3250000000000000e-01,1.0405009016511206e+03,9.7614577366249009e+01
9.3500000000000005e-01,1.0432904483043405e+03,9.7620112241403746e+01
9.3750000000000000e-01,1.0460799949575608e+03,9.7625647116558454e+01
9.4000000000000006e-01,1.0488695416107810e+03,9.7631181991713191e+01
9.4250000000000000e-01,1.0516590882640012e+03,9.7636466588870022e+01
9.4500000000000006e-01,1.0544486349172214e+03,9.7641108963239830e+01
9.4750000000000001e-01,1.0572381815704416e+03,9.7645751337609653e+01
9.5000000000000007e-01,1.0600277282236616e+03,9.7650393711979476e+01
9.5250000000000001e-01,1.0628172748768818e+03,9.7654991694638383e+01
9.5500000000000007e-01,1.0656068215301020e+03,9.7658701843079513e+01
9.5750000000000002e-01,1.0683963681833220e+03,9.7662411991520642e+01
9.5999999999999996e-01,1.0711859148365422e+03,9.7666122139961757e+01
9.6250000000000002e-01,1.0739754614897624e+03,9.7669832288402887e+01
9.6499999999999997e-01,1.0767650081429827e+03,9.7672763258601080e+01
9.6750000000000003e-01,1.0795545547962026e+03,9.7675517142834948e+01
9.6999999999999997e-01,1.0823441014494229e+03,9.7678271027068845e+01
9.7250000000000003e-01,1.0851336481026431e+03,9.7681024911302714e+01
9.7499999999999998e-01,1.0879231947558633e+03,9.7683257617019322e+01
9.7750000000000004e-01,1.0907127414090835e+03,9.7685116021800781e+01
9.7999999999999998e-01,1.0935022880623037e+03,9.7686974426582239e+01
9.8250000000000004e-01,1.0962918347155237e+03,9.7688832831363712e+01
9.8499999999999999e-01,1.0990813813687439e+03,9.7690364080654561e+01
9.8750000000000004e-01,1.1018709280219641e+03,9.7691285631076568e+01
9.8999999999999999e-01,1.1046604746751841e+03,9.7692207181498588e+01
9.9250000000000005e-01,1.1074500213284045e+03,9.7693128731920581e+01
9.9500000000000000e-01,1.1102395679816245e+03,9.7693943011923110e+01
9.9750000000000005e-01,1.1130291146348447e+03,9.7693943011923110e+01
1.0000000000000000e+00,1.1158186612880650e+03,9.7693943011923110e+01
